"순번","ID","도시계획코드","분류명","조서ID","고시ID","라벨명","고시일자","X좌표","Y좌표"
"111399","생활서비스시설_공원_0442","ZON216","생활서비스시설_공원"," "," ","근린공원((오동)<시공원>)"," ","",""
"111400","생활서비스시설_공원_0447","ZON216","생활서비스시설_공원"," "," ","마을마당(돈암1동)"," ","",""
"111401","생활서비스시설_공원_0450","ZON216","생활서비스시설_공원"," "," ","강변공원(성북천)"," ","",""
"111402","생활서비스시설_공원_0453","ZON216","생활서비스시설_공원"," "," ","기타공원(마을공원)"," ","",""
"111403","생활서비스시설_공원_0456","ZON216","생활서비스시설_공원"," "," ","어린이공원(샛별)"," ","",""
"111404","생활서비스시설_공원_0461","ZON216","생활서비스시설_공원"," "," ","어린이공원(동산)"," ","",""
"111405","생활서비스시설_공원_0464","ZON216","생활서비스시설_공원"," "," ","어린이공원(길음뉴타운제3호)"," ","",""
"111406","생활서비스시설_공원_0467","ZON216","생활서비스시설_공원"," "," ","기타공원(종암2동정릉천변수림대)"," ","",""
"111407","생활서비스시설_공원_0468","ZON216","생활서비스시설_공원"," "," ","근린공원((낙산)<시공원>)"," ","",""
"111408","생활서비스시설_공원_0501","ZON216","생활서비스시설_공원"," "," ","어린이공원(장미원)"," ","",""
"111409","생활서비스시설_공원_0470","ZON216","생활서비스시설_공원"," "," ","근린공원(청량<시공원>)"," ","",""
"111410","생활서비스시설_공원_0478","ZON216","생활서비스시설_공원"," "," ","기타공원(월곡2동가로쉼터(2))"," ","",""
"111411","생활서비스시설_공원_0481","ZON216","생활서비스시설_공원"," "," ","기타공원(동망봉쉼터)"," ","",""
"111412","생활서비스시설_공원_0482","ZON216","생활서비스시설_공원"," "," ","강변공원(우이천)"," ","",""
"111413","생활서비스시설_공원_0033","ZON216","생활서비스시설_공원"," "," ","강변공원(망원지구)"," ","",""
"111414","생활서비스시설_공원_0034","ZON216","생활서비스시설_공원"," "," ","강변공원((광나루지구))"," ","",""
"111415","생활서비스시설_공원_0036","ZON216","생활서비스시설_공원"," "," ","강변공원(잠실지구)"," ","",""
"111416","생활서비스시설_공원_0037","ZON216","생활서비스시설_공원"," "," ","기타공원(월드컵)"," ","",""
"111417","생활서비스시설_공원_0038","ZON216","생활서비스시설_공원"," "," ","근린공원(월드컵)"," ","",""
"111418","생활서비스시설_공원_0040","ZON216","생활서비스시설_공원"," "," ","근린공원(나들이공원)"," ","",""
"111419","생활서비스시설_공원_0041","ZON216","생활서비스시설_공원"," "," ","근린공원(서울대공원)"," ","",""
"111420","생활서비스시설_공원_0042","ZON216","생활서비스시설_공원"," "," ","묘지공원(망우묘지공원)"," ","",""
"111421","생활서비스시설_공원_0043","ZON216","생활서비스시설_공원"," "," ","기타공원(서울숲)"," ","",""
"111422","생활서비스시설_공원_0002","ZON216","생활서비스시설_공원"," "," ","근린공원(서울숲)"," ","",""
"111423","생활서비스시설_공원_0007","ZON216","생활서비스시설_공원"," "," ","근린공원(시민의숲)"," ","",""
"111424","생활서비스시설_공원_0008","ZON216","생활서비스시설_공원"," "," ","근린공원(여의도)"," ","",""
"111425","생활서비스시설_공원_0010","ZON216","생활서비스시설_공원"," "," ","광장(광화문열린마당)"," ","",""
"111426","생활서비스시설_공원_0011","ZON216","생활서비스시설_공원"," "," ","근린공원(낙산)"," ","",""
"111427","생활서비스시설_공원_0012","ZON216","생활서비스시설_공원"," "," ","도시자연공원(남산)"," ","",""
"111428","생활서비스시설_공원_0015","ZON216","생활서비스시설_공원"," "," ","강변공원(잠원지구)"," ","",""
"111429","생활서비스시설_공원_0016","ZON216","생활서비스시설_공원"," "," ","도시자연공원((일자산)<길동생태공원>)"," ","",""
"111430","생활서비스시설_공원_0019","ZON216","생활서비스시설_공원"," "," ","근린공원(성수)"," ","",""
"111431","생활서비스시설_공원_0020","ZON216","생활서비스시설_공원"," "," ","근린공원(간데메)"," ","",""
"111432","생활서비스시설_공원_0021","ZON216","생활서비스시설_공원"," "," ","근린공원(천호)"," ","",""
"111433","생활서비스시설_공원_0029","ZON216","생활서비스시설_공원"," "," ","강변공원(여의도지구)"," ","",""
"111434","생활서비스시설_공원_0035","ZON216","생활서비스시설_공원"," "," ","근린공원(서울숲)"," ","",""
"111435","생활서비스시설_공원_0039","ZON216","생활서비스시설_공원"," "," ","근린공원(훈련원)"," ","",""
"111436","생활서비스시설_공원_0045","ZON216","생활서비스시설_공원"," "," ","근린공원(창경)"," ","",""
"111437","생활서비스시설_공원_0047","ZON216","생활서비스시설_공원"," "," ","어린이공원(인왕)"," ","",""
"111438","생활서비스시설_공원_0048","ZON216","생활서비스시설_공원"," "," ","소공원(교남동쉼터)"," ","",""
