위도,경도,주차장유형,주차구획수,주차장구분,주차장명
37.528215,126.871319,노상,28,공영,한국통신
37.527803,126.875162,노상,24,공영,현대41타워 옆
37.536811,126.881493,노상,17,공영,부영그린
37.535439,126.877953,노상,38,공영,법안정사
37.533828,126.876616,노상,21,공영,파리공원(전기차충전소)
37.539061,126.8268996,노상,54,공영,신월5동 복개
37.529915,126.834359,노상,75,공영,곰달래로5길
37.536449,126.834076,노상,33,공영,신월1동저지2구역
37.529866,126.838204,노상,58,공영,신월1동저지1구역
37.519317,126.853945,노상,145,공영,"신정1,3동 복개"
37.527819,126.861916,노상,53,공영,신정4동 로데오길
37.527965,126.853214,노상,112,공영,신정4동길
37.516263,126.861702,노상,17,공영,굿모닝탑 앞
37.51662,126.865097,노상,31,공영,양천경찰서
37.532717,126.828598,노외,161,공영,신월3동
37.516131,126.849601,노외,101,공영,다락골
37.521636,126.860547,노외,18,공영,법마을
37.533173,126.824559,노외,61,공영,능골
37.534498,126.828575,노외,107,공영,신우
37.524363,126.845025,노외,45,공영,당곡
37.533088,126.836284,노외,23,공영,신영시장
37.530475,126.833012,노외,114,공영,마을마당
37.529539,126.836015,노외,108,공영,곰달래
37.536725,126.830828,노외,376,공영,가로공원
37.532926,126.876896,노외,23,공영,목동타운홀
37.536671,126.879208,노외,39,공영,우리
37.535438,126.879351,노외,42,공영,광장
37.533463,126.876594,노외,48,공영,도서관
37.548771,126.866172,노외,33,공영,한두
37.542031,126.865111,노외,64,공영,목3동 해운
37.545977,126.874609,노외,85,공영,목2동 월촌
37.531823,126.875401,노외,21,공영,양천사회단체봉사센터
37.529393,126.879105,노외,894,공영,목동
37.521105,126.85074,노외,84,공영,신정네거리
37.530443,126.874295,노외,186,공영,바람개비
37.52408435,126.8330225,노외,48,공영,신월7동주민센터
37.54834,126.863652,노외,54,공영,깨비시장 고객주차장
37.53897,126.865489,노외,32,공영,경창시장
37.545483,126.865192,노외,100,공영,목3동 등마루
37.53504,126.82415,노외,76,공영,여울
37.528116,126.831899,노외,70,공영,서서울
37.538968,126.865489,노외,24,공영,목사랑시장 고객주차장
37.51907417,126.835606,노외,249,공영,해맞이
37.514938,126.860059,노외,88,공영,신정7동 한사랑교회 앞
37.516383,126.862569,노외,23,공영,문화회관서측
37.515383,126.862641,노외,20,공영,누리
37.516217,126.861336,노외,21,공영,밝은빛
37.515221,126.861494,노외,30,공영,하늘
37.517019,126.863847,노외,80,공영,문화회관동측
37.516521,126.863346,노외,93,공영,문화회관 지하
37.522152,126.869272,노외,32,공영,어울림
37.57134751,126.9854514,노외,12,공영,하나로빌딩옆
37.64603012,127.021877,노외,62,공영,수유2동주차장
37.48263121,126.9272563,노상,56,공영,신원시장공영주차장
37.48667825,126.9171196,노상,13,공영,신사시장공영주차장
37.48462166,126.9258029,노상,33,공영,신림동제2공영주차장
37.48277655,126.9275257,노상,27,공영,서원동제1공영주차장
37.483543,126.9031094,노상,27,공영,조원동제2공영주차장
37.46797457,126.9311088,노상,74,공영,삼성동제1공영주차장
37.47811545,126.9590433,노상,20,공영,낙성대제1공영주차장
37.47499084,126.959844,노상,23,공영,낙성대제2공영주차장
37.47567778,126.9792771,노외,92,공영,남현소공원공영주차장
37.46906095,126.9242983,노외,117,공영,난곡스마트공영주차장
37.46411875,126.933436,노외,71,공영,삼성동제2공영주차장
37.481026,126.942554,노외,151,공영,관악초공영주차장
37.469348,126.911268,노외,42,공영,민방위교육장공영주차장
37.485119,126.922184,노외,135,공영,남부초공영주차장
37.492357,126.932678,노외,159,공영,당곡중공영주차장
37.487364,126.923465,노외,188,공영,신림동제1공영주차장
37.476383,126.919922,노외,79,공영,미성동제4공영주차장
37.466806,126.9228283,노외,71,공영,난우중공영주차장
37.47221023,126.9231529,노외,119,공영,난곡동제1공영주차장
37.48444806,126.915444,노외,41,공영,신사동제1공영주차장
37.488508,126.934495,노외,131,공영,보라매제1공영주차장
37.470107,126.929213,노외,172,공영,원신공영주차장
37.481073,126.905712,노외,109,공영,조원동제1공영주차장
37.479744,126.960471,노외,142,공영,행운동제1공영주차장
37.47577785,126.9650186,노상,11,공영,인헌시장노상공영주차장
37.48702997,126.9258893,노상,37,공영,신림동제3공영주차장
37.48627802,126.9478758,노외,6,공영,중앙동제1공영주차장
37.47433551,126.9617961,노외,6,공영,낙성대제3공영주차장
37.47875774,126.9470248,노외,17,공영,청룡동제1공영주차장
37.48119817,126.9377027,노외,30,공영,봉림중공영주차장
37.46760509,126.9226742,노외,41,공영,난곡마당공영주차장
37.47016608,126.9178922,노외,6,공영,난곡동제2공영주차장
37.47324878,126.9407527,노외,12,공영,서림동제1공영주차장
37.47674526,126.9294757,노외,8,공영,신원동제2공영주차장
37.48306952,126.9252104,노외,23,공영,신원동제1공영주차장
37.47565502,126.9157498,노외,15,공영,미성동제3공영주차장
37.4797444,126.9141902,노외,21,공영,미성동제2공영주차장
37.47957874,126.9157042,노외,5,공영,미성동제1공영주차장
37.46590801,126.9392301,노외,5,공영,대학동제1공영주차장
37.48299189,126.9043887,노외,17,공영,조원동제3공영주차장
