ADM_NM,GU_NM,n_cells,avg_urgency,avg_composite,avg_airspace,avg_obstacle,avg_noise,avg_terrain,avg_weather,pct_feasible
돈암1동,성북구,5,0.021,0.563,1.0,0.736,0.808,1.0,0.969,100.0
돈암2동,성북구,7,0.041,0.395,1.0,0.578,0.798,0.857,0.943,100.0
동선동,성북구,12,0.181,0.324,1.0,0.663,0.625,0.833,0.932,100.0
동화동,중구,5,0.039,0.366,1.0,0.86,0.584,0.8,0.938,100.0
둔촌1동,강동구,13,0.072,0.176,0.231,0.922,0.975,1.0,0.984,23.077
둔촌2동,강동구,23,0.104,0.585,1.0,0.797,0.888,0.87,0.953,100.0
등촌1동,강서구,9,0.116,0.303,1.0,0.447,0.835,0.889,0.952,100.0
등촌2동,강서구,12,0.051,0.568,1.0,0.89,0.828,0.833,0.927,100.0
등촌3동,강서구,15,0.177,0.446,1.0,0.544,0.929,0.9,0.953,100.0
마장동,성동구,14,0.074,0.435,1.0,0.8,0.68,0.786,0.93,92.857
마천1동,송파구,9,0.032,0.0,0.0,0.784,0.729,0.944,0.969,0.0
마천2동,송파구,11,0.074,0.0,0.0,0.915,0.779,0.818,0.939,0.0
망우3동,중랑구,14,0.034,0.559,1.0,0.917,0.744,0.893,0.939,92.857
망우본동,중랑구,39,0.171,0.539,1.0,0.858,0.863,0.782,0.918,89.744
망원1동,마포구,16,0.132,0.714,1.0,0.932,0.778,1.0,0.972,100.0
망원2동,마포구,10,0.067,0.543,1.0,0.813,0.761,0.9,0.942,100.0
면목2동,중랑구,12,0.064,0.475,1.0,0.838,0.633,0.917,0.96,100.0
면목3·8동,중랑구,23,0.098,0.495,1.0,0.895,0.797,0.761,0.91,82.609
면목4동,중랑구,12,0.042,0.32,1.0,0.883,0.75,0.583,0.881,75.0
면목5동,중랑구,10,0.034,0.641,1.0,0.922,0.754,0.95,0.959,100.0
면목7동,중랑구,15,0.066,0.517,1.0,0.912,0.793,0.767,0.912,86.667
면목본동,중랑구,11,0.127,0.446,1.0,0.894,0.51,1.0,0.978,100.0
명동,중구,14,0.464,0.286,1.0,0.4,0.802,0.964,0.963,100.0
명일1동,강동구,8,0.113,0.498,1.0,0.592,0.882,1.0,0.973,100.0
명일2동,강동구,13,0.19,0.529,1.0,0.623,0.945,0.962,0.965,100.0
목1동,양천구,20,0.184,0.565,1.0,0.662,0.941,0.95,0.968,100.0
목2동,양천구,12,0.089,0.564,1.0,0.844,0.783,0.917,0.943,100.0
목3동,양천구,10,0.073,0.511,1.0,0.751,0.732,0.95,0.975,100.0
목4동,양천구,8,0.066,0.489,1.0,0.806,0.686,0.938,0.963,100.0
목5동,양천구,24,0.153,0.403,1.0,0.511,0.959,0.854,0.95,100.0
무악동,종로구,6,0.008,0.268,1.0,0.896,0.876,0.417,0.84,83.333
묵1동,중랑구,18,0.095,0.581,1.0,0.767,0.821,0.944,0.965,100.0
묵2동,중랑구,10,0.067,0.562,1.0,0.86,0.726,0.95,0.96,100.0
문래동,영등포구,25,0.222,0.403,1.0,0.561,0.866,0.9,0.96,100.0
문정1동,송파구,7,0.084,0.0,0.0,0.822,0.789,1.0,0.984,0.0
문정2동,송파구,31,0.276,0.0,0.0,0.789,0.975,0.935,0.97,0.0
미성동,관악구,19,0.069,0.398,1.0,0.82,0.794,0.684,0.896,84.211
미아동,강북구,12,0.113,0.341,1.0,0.715,0.702,0.75,0.926,91.667
반포1동,서초구,14,0.159,0.528,1.0,0.75,0.85,0.893,0.962,100.0
반포2동,서초구,21,0.082,0.553,1.0,0.748,0.97,0.786,0.943,100.0
반포3동,서초구,18,0.115,0.521,1.0,0.611,0.981,0.833,0.953,100.0
반포4동,서초구,19,0.255,0.364,1.0,0.509,0.916,0.842,0.941,100.0
반포본동,서초구,12,0.009,0.557,1.0,0.708,0.972,0.833,0.946,100.0
발산1동,강서구,42,0.155,0.653,1.0,0.765,0.93,0.94,0.96,97.619
방배1동,서초구,9,0.109,0.508,1.0,0.827,0.729,0.889,0.946,100.0
방배2동,서초구,26,0.103,0.438,1.0,0.895,0.816,0.654,0.894,84.615
