h3_index,lat,lon,CSV_ADMI_CD,ADM_NM,GU_NM,delivery_demand_index,flow_pop_index,urgency,score_airspace,score_obstacle,score_noise,score_terrain,score_weather,composite_score,terrain_zone,avg_slope,tall_bldg_count,total_bldg_count,urgency_level,composite_level
8930e0acb77ffff,37.48810696751748,126.88622759195663,11530550,구로4동,구로구,0.07190026931020754,0.1153648314919244,0.0892860941828943,1.0,1.0,0.5,1.0,0.9734251545603388,0.4867125772801694,Green,1.8709925413131714,0,786,보통,보통
8930e1ce047ffff,37.560590061708375,127.16217430246807,11740560,고덕2동,강동구,0.04307592947279784,0.15799054263765527,0.08904177473874081,1.0,0.8444444444444444,0.7862745098039216,1.0,0.9712100043264248,0.6448495880577805,Green,2.026949405670166,2,220,보통,높음
8930e1db05bffff,37.54298386538964,126.88020346533123,11470520,목2동,양천구,0.04973770136905513,0.14901203032124433,0.08944743294993081,1.0,0.8444444444444444,0.907843137254902,0.5,0.8345692677475829,0.31990003696625213,Yellow,11.64709186553955,2,96,보통,보통
8930e1c241bffff,37.66245811701341,127.0209825614678,11320710,방학3동,도봉구,0.010123258453959047,0.1132520778502287,0.05137478621246691,1.0,0.9222222222222223,0.8705882352941177,1.0,0.9430540451001573,0.75715528692878,Green,4.0092597007751465,1,133,매우 낮음,높음
8930e1ca10bffff,37.51776379365445,127.04830113936409,11680590,삼성2동,강남구,0.14414189505839706,0.3218314866112123,0.21521773167952313,1.0,0.6111111111111112,0.8950980392156863,1.0,0.9841861140669779,0.5383540927872908,Green,1.1133710145950317,5,112,매우 높음,보통
8930e1c2293ffff,37.63965723850894,127.03221545523932,<NA>,번1동,강북구,0.0,0.0,0.0,1.0,0.9222222222222223,0.5008710801393728,1.0,0.9526961874746925,0.4400641264733808,Green,3.3304080963134766,1,574,매우 낮음,보통
8930e1d9963ffff,37.511224824519935,126.99797316759555,11650570,반포2동,서초구,0.025208804632957993,0.1674293596808136,0.08209702665210024,1.0,1.0,0.996078431372549,1.0,0.9532203283348186,0.9494822094001723,Green,3.293506145477295,0,4,낮음,최적
8930e0ac867ffff,37.49849730224091,126.87139168635458,11530530,구로2동,구로구,0.06711135945542708,0.2528279204600558,0.1413979838572786,1.0,0.6111111111111112,0.9852941176470589,1.0,0.9912367522571884,0.5968476196189118,Green,0.616973340511322,5,20,높음,보통
8930e1cf5b7ffff,37.54841419703029,127.14536856394393,11740530,명일1동,강동구,0.0751560101737753,0.17009162353659132,0.11313025551890171,1.0,0.4555555555555556,0.7803921568627451,1.0,0.9452034770821103,0.33603116207028055,Green,3.8579297065734863,7,231,보통,보통
8930e1c210bffff,37.656217888324754,127.05986171894868,11350720,상계10동,노원구,0.00904445912591844,0.07210458839578301,0.03426851083386427,1.0,0.7666666666666667,0.953921568627451,1.0,0.9883391112123159,0.7228117963993602,Green,0.8209807276725769,3,50,매우 낮음,높음
