admi_cty_no,hour,total_del_amt,total_del_cnt,hour_ratio
11110530,4,70952535.96419063,4659.520829543148,0.13117172930430662
11110530,5,187303649.61741704,8552.99986084416,0.3462729455889263
11110530,6,68707350.2092984,1675.5142534946885,0.12702099819827195
11110560,1,432100705.01763827,9453.46138143201,0.08271114802457419
11110560,2,93030150.9551118,9030.80189713123,0.01780749370932556
11110560,3,959909279.3066337,63537.28524685374,0.18374234887594643
11110560,4,587847303.9342207,42849.804720705244,0.11252359648329076
11110560,5,2011190703.0704203,102425.13904779922,0.3849748218774942
11110560,6,1140135465.4059258,35249.02631326266,0.21824059102936877
11110580,1,24548475.97044838,794.1686883859068,0.01835263077992414
11110580,2,29184041.27026929,3194.957142110396,0.021818215303633683
11110580,3,342149321.6568103,15612.245517048776,0.2557934830466891
11110580,4,187739198.77059343,9567.343886786903,0.14035527916695176
11110580,5,564640677.4022865,20437.093492009644,0.42212974394683556
11110580,6,189338123.6024131,6812.038361623359,0.14155064775596574
11110590,1,236550.15833333333,8.87037037037037,0.01011238902864451
11110590,2,141345.72569329472,13.250536009933775,0.006042451951067897
11110590,3,1169368.5724797645,43.650863379936226,0.04998986264098279
11110590,4,1469237.844846701,52.473435123865585,0.06280910893224055
11110590,5,14020917.529721608,519.9653973509934,0.5993865047398987
11110590,6,6354694.303703704,248.8138888888889,0.2716596827071655
11110600,1,97916407.40832375,1884.4640540322475,0.028984660147897984
11110600,2,209830762.1643523,18251.48019494437,0.062112913360331784
11110600,3,791179620.9221879,63543.29696708355,0.23420050873336015
11110600,4,571049690.8219292,52330.615082094206,0.16903889403349168
11110600,5,1255616669.4172585,91586.67550950994,0.3716805324293489
11110600,6,452621632.8339665,20474.03774311717,0.1339824912955696
11110610,1,644795.3395494834,175.23963925839232,0.0007850353569991267
11110610,2,30721378.817557402,3032.5291418560173,0.03740313725653991
11110610,3,234523973.27043557,19853.53406942657,0.285531857612133
11110610,4,210260229.22598046,19994.03613033884,0.25599086095824436
11110610,5,323085821.4527086,29468.76415353149,0.3933554999989553
11110610,6,22122144.292862076,2765.473753996346,0.026933608817128255
11110640,1,352228738.285517,8486.84936191178,0.08063769881127542
11110640,2,78067035.27325414,9183.254311402063,0.017872323843010872
11110640,3,373004148.70251596,25421.832659442247,0.08539392993551893
11110640,4,390579054.16501236,23786.124990660537,0.0894174515261185
11110640,5,1827659633.711686,76413.4259533746,0.41841636145345956
11110640,6,1346501940.099858,42894.38608482696,0.3082622344306167
11110650,1,371734075.99015516,8731.709308416754,0.06987902736860452
11110650,2,135597453.9832873,14569.262882262336,0.025489775648822058
11110650,3,799743709.9120495,45478.642139682815,0.15033680311377606
11110650,4,591619792.8101565,28427.790445445855,0.11121341400696323
11110650,5,2102085242.7449505,76230.84754845087,0.3951525611894786
11110650,6,1318899891.6758804,34231.608206206,0.24792841867235546
11110660,1,1533024548.6436775,29253.36005396833,0.1822338250744919
11110660,2,181236400.83058918,12181.228649903243,0.021543948918047416
11110660,3,946306770.4161015,61241.859814435615,0.11248945923233074
11110660,4,644497225.5348232,40262.13370592362,0.07661272923712793
11110660,5,2680646412.2863097,101227.09162647651,0.3186540292621832
11110660,6,2426692585.5027823,59289.19634403633,0.2884660082758188
11110690,1,153109126.2240808,1714.4429500065548,0.0950723918209466
11110690,2,32979397.803637054,927.8283637290639,0.020478401956376076
11110690,3,180047464.98442543,10198.737006067277,0.11179962657689854
11110690,4,142489571.2127953,7678.75704876417,0.08847822908293053
11110690,5,666054353.5660726,21187.042589912504,0.41358331823803157
11110690,6,435767906.9857814,8477.695414890753,0.2705880323248167
11110720,1,4025262.6365023484,102.13901306636049,0.003143584759875444
11110720,2,21766481.693404514,2487.024628465799,0.016998836177047637
11110720,3,236184613.4663094,23092.819511412876,0.18445165408011996
11110720,4,240236028.47769472,27916.469816556597,0.18761566290037127
11110720,5,577371927.138803,55102.82978896184,0.4509066251911877
11110720,6,200884623.79572272,15651.799279826313,0.15688363689139803
11110730,1,42492200.90341696,1391.867588146922,0.030082871227084546
11110730,2,99725776.30986053,10508.170650037955,0.07060207809827351
11110730,3,368487763.8991717,33733.23979761097,0.2608754010019687
11110730,4,214164957.90153232,21740.331242440774,0.15162069068979897
11110730,5,522525556.30258787,44860.57267447012,0.3699283324683574
11110730,6,165108574.51363346,10064.535076144668,0.11689062651451688
11110740,1,6266273.814121196,185.61482165800504,0.015887296427851784
11110740,2,11013071.2672697,1371.7580967970698,0.02792216443045892
11110740,3,137220307.95066312,8970.59052746796,0.3479036781668359
11110740,4,68277878.83469148,5730.86773978798,0.17310940005002318
11110740,5,147739203.10833463,10539.622346135626,0.3745729253814757
11110740,6,23903665.15894677,1261.9829631299579,0.06060453554335459
11110760,1,86330947.19822666,1745.32412600543,0.05954139957250969
11110760,2,27192070.16617311,2551.1273214410317,0.018754038586537024
11110760,3,169786536.11488238,10760.88907479035,0.11709969966663607
11110760,4,139987949.42030555,6041.342779446767,0.09654797847442013
