hub_name,target_h3,target_dong,terrain_zone,distance_m,flight_time_min,hub_elev,target_elev,elev_diff,urgency,robot_time_min,total_delivery_min
여의서로 공영주차장(시),8930e1d95b3ffff,여의동,Green,408.1,0.41,19.20578956604004,23.049150466918945,3.8433609008789062,0.8760664828883493,6.85608,4.466824000000001
여의서로 공영주차장(시),8930e1d9513ffff,여의동,Yellow,535.5,0.54,19.20578956604004,19.687217712402344,0.4814281463623047,0.8760664828883493,22.490999999999996,0.54
여의서로 공영주차장(시),8930e1d9587ffff,여의동,Yellow,143.4,0.14,19.20578956604004,16.890613555908203,-2.315176010131836,0.8760664828883493,6.0228,0.14
여의서로 공영주차장(시),8930e1d95a3ffff,여의동,Yellow,565.6,0.57,19.20578956604004,12.79827880859375,-6.407510757446289,0.8760664828883493,23.7552,0.57
여의서로 공영주차장(시),8930e1d8653ffff,여의동,Green,915.9,0.92,19.20578956604004,25.532127380371094,6.326337814331055,0.8760664828883493,15.387120000000001,7.536136
동국제강 공영주차장(시),8930e1d8cafffff,종로1·2·3·4가동,Yellow,770.6,0.77,42.68283462524414,35.192527770996094,-7.490306854248047,0.7590638006572322,32.3652,0.77
동국제강 공영주차장(시),8930e1d8c37ffff,종로1·2·3·4가동,Green,663.2,0.66,42.68283462524414,41.229068756103516,-1.453765869140625,0.7590638006572322,11.14176,6.002528
동국제강 공영주차장(시),8930e1d8ddbffff,종로1·2·3·4가동,Yellow,953.2,0.95,42.68283462524414,38.333595275878906,-4.349239349365234,0.7590638006572322,40.034400000000005,0.95
동국제강 공영주차장(시),8930e1d8c03ffff,종로1·2·3·4가동,Yellow,428.8,0.43,42.68283462524414,40.158817291259766,-2.524017333984375,0.7590638006572322,18.0096,0.43
동국제강 공영주차장(시),8930e1d8c33ffff,종로1·2·3·4가동,Green,459.1,0.46,42.68283462524414,30.88230323791504,-11.800531387329102,0.7590638006572322,7.71288,4.773864
용산전자상가3 공영주차장(구),8930e1d9cd7ffff,여의동,Green,1228.1,1.23,19.02183723449707,29.686830520629883,10.664993286132812,0.8760664828883493,20.63208,9.419623999999999
용산전자상가3 공영주차장(구),8930e1d9c9bffff,여의동,Green,1202.6,1.2,19.02183723449707,29.01774787902832,9.99591064453125,0.8760664828883493,20.20368,9.261104
용산전자상가3 공영주차장(구),8930e1d9dcfffff,한강로동,Green,677.1,0.68,19.02183723449707,29.266279220581055,10.244441986083984,0.31333088935182973,11.375279999999998,6.0925839999999996
용산전자상가3 공영주차장(구),8930e1d9cbbffff,한강로동,Green,531.2,0.53,19.02183723449707,23.71467399597168,4.692836761474609,0.31333088935182973,8.924160000000002,5.207248000000001
용산전자상가3 공영주차장(구),8930e1d9c37ffff,한강로동,Green,195.4,0.2,19.02183723449707,24.12252426147461,5.100687026977539,0.31333088935182973,3.2827200000000003,3.184816
용산전자상가1 공영주차장(구),8930e1d9d87ffff,한강로동,Green,317.9,0.32,33.51435089111328,29.636281967163086,-3.8780689239501953,0.31333088935182973,5.340719999999999,3.9222159999999997
용산전자상가1 공영주차장(구),8930e1d9d13ffff,한강로동,Green,363.8,0.36,33.51435089111328,33.8734016418457,0.3590507507324219,0.31333088935182973,6.11184,4.1935519999999995
용산전자상가1 공영주차장(구),8930e1d9d03ffff,한강로동,Green,525.8,0.53,33.51435089111328,36.074100494384766,2.5597496032714844,0.31333088935182973,8.833439999999998,5.180031999999999
용산전자상가1 공영주차장(구),8930e1d836fffff,한강로동,Yellow,833.6,0.83,33.51435089111328,21.40684700012207,-12.107503890991211,0.31333088935182973,35.011199999999995,0.83
용산전자상가1 공영주차장(구),8930e1d9d0fffff,한강로동,Green,768.4,0.77,33.51435089111328,36.266448974609375,2.7520980834960938,0.31333088935182973,12.909120000000001,6.642736
삼환아파트 앞 노상주차장(구),8930e1d9403ffff,영등포동,Green,1180.4,1.18,17.674312591552734,18.699161529541016,1.0248489379882812,0.3390680042383926,19.830720000000003,9.129216
삼환아파트 앞 노상주차장(구),8930e0ac94fffff,구로5동,Green,1623.9,1.62,17.674312591552734,18.184309005737305,0.5099964141845703,0.22441557038521853,27.28152,11.804455999999998
삼환아파트 앞 노상주차장(구),8930e0ac97bffff,구로5동,Green,1436.8,1.44,17.674312591552734,19.18796730041504,1.5136547088623047,0.22441557038521853,24.13824,10.681472
삼환아파트 앞 노상주차장(구),8930e1d969bffff,구로5동,Green,1391.1,1.39,17.674312591552734,18.58123207092285,0.9069194793701172,0.22441557038521853,23.370479999999997,10.401143999999999
삼환아파트 앞 노상주차장(구),8930e0ac96bffff,구로5동,Green,1592.2,1.59,17.674312591552734,18.286869049072266,0.6125564575195312,0.22441557038521853,26.748959999999997,11.614688
구파발역 공영주차장(시),8930e1da52fffff,대조동,Green,2419.5,2.42,35.06563186645508,38.03401565551758,2.9683837890625,0.22321385212782502,40.6476,16.61428
구파발역 공영주차장(시),8930e1da1abffff,대조동,Green,3332.7,3.33,35.06563186645508,40.1629638671875,5.097332000732422,0.22321385212782502,55.98936,22.126807999999997
