h3_index,ADM_NM,GU_NM,delivery_demand_index,flow_pop_index,urgency,score_airspace,score_obstacle,score_noise,score_terrain,score_weather,composite_score,tall_bldg_count,noise_total,avg_slope,terrain_zone,avg_available_pct,avg_wind_ms
8930e1d1b2fffff,인수동,강북구,0.047010455162531196,0.17506130565399133,0.11103588040826126,1.0,1.0,0.9448,1.0,0.7,0.66136,0,1311.0,2.155954122543335,Green,92.723,1.1819
8930e1d1b33ffff,인수동,강북구,0.023710875666456698,0.17506130565399133,0.09938609066022401,1.0,1.0,0.9448,0.5,0.7,0.33068,0,1311.0,5.248798847198486,Yellow,92.723,1.1819
8930e1d1b37ffff,인수동,강북구,0.05165601055139039,0.17506130565399133,0.11335865810269086,1.0,1.0,0.9448,1.0,0.7,0.66136,0,1311.0,4.711432933807373,Green,92.723,1.1819
8930e1d1b3bffff,인수동,강북구,0.008047462696427133,0.17506130565399133,0.09155438417520924,1.0,1.0,0.9448,1.0,0.7,0.66136,0,1311.0,2.8419647216796875,Green,92.723,1.1819
8930e1d1b77ffff,수유1동,강북구,0.0,0.0,0.0,1.0,1.0,0.9448,1.0,0.7,0.66136,0,1311.0,2.092867851257324,Green,92.723,1.1819
8930e1d1b8bffff,우이동,강북구,0.0,0.10626919225896168,0.05313459612948084,1.0,1.0,0.9448,0.5,0.7,0.33068,0,1311.0,6.284199237823486,Yellow,92.723,1.1819
8930e1d1b8fffff,인수동,강북구,0.004879087960177886,0.17506130565399133,0.08997019680708461,1.0,1.0,0.9448,0.5,0.7,0.33068,0,1311.0,11.238053321838379,Yellow,92.723,1.1819
8930e1d1ba3ffff,인수동,강북구,0.03301871713585163,0.17506130565399133,0.10404001139492149,1.0,1.0,0.9448,1.0,0.7,0.66136,0,1311.0,3.3878676891326904,Green,92.723,1.1819
8930e1d1ba7ffff,인수동,강북구,0.04601846456854161,0.17506130565399133,0.11053988511126647,1.0,1.0,0.9448,1.0,0.7,0.66136,0,1311.0,2.621898651123047,Green,92.723,1.1819
8930e1d1babffff,인수동,강북구,0.0006190355920328564,0.17506130565399133,0.0878401706230121,1.0,1.0,0.9448,1.0,0.7,0.66136,0,1311.0,4.422461032867432,Green,92.723,1.1819
8930e1d1bafffff,인수동,강북구,0.016590572133772467,0.17506130565399133,0.0958259388938819,1.0,1.0,0.9448,0.5,0.7,0.33068,0,1311.0,6.668972492218018,Yellow,92.723,1.1819
8930e1d1bb3ffff,우이동,강북구,0.006106702461945746,0.10626919225896168,0.05618794736045372,1.0,1.0,0.9448,1.0,0.7,0.66136,0,1311.0,3.504429340362549,Green,92.723,1.1819
8930e1d1bb7ffff,우이동,강북구,0.004886059081709787,0.10626919225896168,0.05557762567033574,1.0,1.0,0.9448,1.0,0.7,0.66136,0,1311.0,3.5307297706604004,Green,92.723,1.1819
8930e1d1bbbffff,인수동,강북구,0.017227732641788267,0.17506130565399133,0.0961445191478898,1.0,1.0,0.9448,0.5,0.7,0.33068,0,1311.0,5.5209641456604,Yellow,92.723,1.1819
8930e1c2003ffff,창1동,도봉구,0.018660712590768028,0.12788001353203748,0.07327036306140275,1.0,0.6333333333333333,0.9688,1.0,0.7711,0.47312639733333334,22,740.0,4.322734832763672,Green,93.1166,1.3
8930e1c200bffff,창1동,도봉구,0.007785851496880345,0.12788001353203748,0.06783293251445892,1.0,0.9333333333333333,0.9688,1.0,0.7711,0.6972389013333333,4,740.0,3.0110158920288086,Green,93.1166,1.3
8930e1c200fffff,창1동,도봉구,0.07416181089644058,0.12788001353203748,0.10102091221423903,1.0,0.6833333333333333,0.9688,1.0,0.7711,0.5104784813333334,19,740.0,4.932157039642334,Green,93.1166,1.3
8930e1c201bffff,창1동,도봉구,0.03558194653955333,0.12788001353203748,0.0817309800357954,1.0,0.9666666666666667,0.9688,1.0,0.7711,0.7221402906666667,2,740.0,4.849568843841553,Green,93.1166,1.3
8930e1c2023ffff,창4동,도봉구,0.00702904102603205,0.1884194823254153,0.09772426167572368,1.0,0.30000000000000004,0.9688,0.5,0.7711,0.11205625200000002,57,740.0,5.4383134841918945,Yellow,93.1166,1.3
8930e1c202bffff,창1동,도봉구,0.07840194606534827,0.12788001353203748,0.10314097979869288,1.0,0.6333333333333333,0.9688,1.0,0.7711,0.47312639733333334,22,740.0,4.196351528167725,Green,93.1166,1.3
8930e1c203bffff,창1동,도봉구,0.06209589358750807,0.12788001353203748,0.09498795355977277,1.0,0.3666666666666667,0.9688,1.0,0.7711,0.2739152826666667,38,740.0,3.722369432449341,Green,93.1166,1.3
8930e1c2047ffff,창1동,도봉구,0.005975246396796463,0.12788001353203748,0.06692762996441698,1.0,1.0,0.9688,1.0,0.7711,0.74704168,0,740.0,3.018674850463867,Green,93.1166,1.3
8930e1c2053ffff,창1동,도봉구,0.06502330886303996,0.12788001353203748,0.09645166119753873,1.0,0.7666666666666667,0.9688,1.0,0.7711,0.5727319546666667,14,740.0,0.3975135385990143,Green,93.1166,1.3
8930e1c2057ffff,창1동,도봉구,0.054972641200306926,0.12788001353203748,0.0914263273661722,1.0,0.9666666666666667,0.9688,1.0,0.7711,0.7221402906666667,2,740.0,1.1736809015274048,Green,93.1166,1.3
8930e1c2063ffff,창1동,도봉구,0.020586118289892378,0.12788001353203748,0.07423306591096493,1.0,0.8833333333333333,0.9688,0.5,0.7711,0.32994340866666666,7,740.0,5.7577996253967285,Yellow,93.1166,1.3
8930e1c2067ffff,창1동,도봉구,0.04966748090877928,0.12788001353203748,0.08877374722040839,1.0,0.7333333333333334,0.9688,1.0,0.7711,0.5478305653333334,16,740.0,4.727360248565674,Green,93.1166,1.3
8930e1c206fffff,창1동,도봉구,0.01943062530389811,0.12788001353203748,0.0736553194179678,1.0,0.8333333333333334,0.9688,1.0,0.7711,0.6225347333333333,10,740.0,0.9178658127784729,Green,93.1166,1.3
8930e1c2073ffff,창1동,도봉구,0.024960395463113638,0.12788001353203748,0.07642020449757556,1.0,1.0,0.9688,1.0,0.7711,0.74704168,0,740.0,1.404906988143921,Green,93.1166,1.3
8930e1c2077ffff,창1동,도봉구,0.026942577545459083,0.12788001353203748,0.07741129553874829,1.0,0.9,0.9688,1.0,0.7711,0.672337512,6,740.0,2.1469032764434814,Green,93.1166,1.3
8930e1c20c7ffff,쌍문2동,도봉구,0.0029617306719842127,0.10332148451123926,0.05314160759161174,1.0,0.9333333333333333,0.9688,1.0,0.7711,0.6972389013333333,4,740.0,3.2652318477630615,Green,93.1166,1.3
8930e1c20cbffff,쌍문3동,도봉구,0.0,0.10060258239563885,0.050301291197819425,1.0,0.9666666666666667,0.9688,1.0,0.7711,0.7221402906666667,2,740.0,1.0051196813583374,Green,93.1166,1.3
8930e1c20cfffff,창1동,도봉구,0.047654726927776316,0.12788001353203748,0.0877673702299069,1.0,0.9666666666666667,0.9688,1.0,0.7711,0.7221402906666667,2,740.0,2.3383865356445312,Green,93.1166,1.3
8930e1c2393ffff,창4동,도봉구,0.007962419809534974,0.1884194823254153,0.09819095106747514,1.0,0.5333333333333334,0.9688,1.0,0.7711,0.39842222933333343,28,740.0,0.570704996585846,Green,93.1166,1.3
