h3_index,상권업종대분류명,store_count
8930e0360c7ffff,수리·개인,2
8930e0360c7ffff,숙박,1
8930e0360c7ffff,음식,10
8930e0360cbffff,교육,3
8930e0360cbffff,보건의료,1
8930e0360cbffff,부동산,3
8930e0360cbffff,소매,5
8930e0360cbffff,수리·개인,7
8930e0360cbffff,시설관리·임대,1
8930e0360cbffff,예술·스포츠,2
8930e0360cbffff,음식,10
8930e0360d7ffff,과학·기술,1
8930e0360d7ffff,교육,4
8930e0360d7ffff,부동산,3
8930e0360d7ffff,소매,1
8930e0360d7ffff,수리·개인,3
8930e0360d7ffff,예술·스포츠,2
8930e0360d7ffff,음식,6
8930e0360dbffff,과학·기술,1
8930e0360dbffff,소매,1
8930e0360dbffff,수리·개인,1
8930e0360dbffff,시설관리·임대,1
8930e0360dbffff,음식,1
8930e036107ffff,교육,1
8930e036107ffff,수리·개인,1
8930e036107ffff,예술·스포츠,1
8930e036107ffff,음식,1
8930e03610bffff,과학·기술,1
8930e03610bffff,소매,1
8930e03610bffff,수리·개인,1
8930e03610bffff,시설관리·임대,3
8930e03610fffff,과학·기술,4
8930e03610fffff,교육,1
8930e03610fffff,보건의료,1
8930e03610fffff,부동산,2
8930e03610fffff,소매,8
8930e03610fffff,수리·개인,5
8930e03610fffff,시설관리·임대,1
8930e03610fffff,예술·스포츠,1
8930e03610fffff,음식,7
8930e036117ffff,과학·기술,1
8930e03611bffff,예술·스포츠,1
8930e036123ffff,과학·기술,5
8930e036123ffff,교육,2
8930e036123ffff,소매,4
8930e036123ffff,수리·개인,6
8930e036123ffff,시설관리·임대,1
8930e03612fffff,교육,3
8930e03612fffff,수리·개인,1
8930e03612fffff,시설관리·임대,1
8930e036133ffff,과학·기술,6
8930e036133ffff,교육,4
8930e036133ffff,보건의료,1
8930e036133ffff,부동산,8
8930e036133ffff,소매,45
8930e036133ffff,수리·개인,19
8930e036133ffff,시설관리·임대,4
8930e036133ffff,예술·스포츠,5
8930e036133ffff,음식,26
8930e036137ffff,과학·기술,5
8930e036137ffff,교육,4
8930e036137ffff,소매,6
8930e036137ffff,수리·개인,1
8930e036137ffff,시설관리·임대,2
8930e036137ffff,예술·스포츠,1
8930e036137ffff,음식,3
8930e03613bffff,과학·기술,1
8930e03613bffff,교육,1
8930e03613bffff,부동산,1
8930e03613bffff,소매,9
8930e03613bffff,수리·개인,15
8930e03613bffff,시설관리·임대,1
8930e03613bffff,음식,2
8930e036147ffff,과학·기술,5
8930e036147ffff,교육,1
8930e036147ffff,소매,8
8930e036147ffff,수리·개인,4
8930e036147ffff,시설관리·임대,3
8930e036147ffff,음식,1
8930e036153ffff,과학·기술,2
8930e036153ffff,교육,5
