hub_name,target_h3,target_dong,terrain_zone,distance_m,flight_time_min,hub_elev,target_elev,elev_diff,urgency
구파발역 공영주차장(시),8930e1d1623ffff,진관동,Yellow,43.0,0.04,35.06563186645508,45.29557418823242,10.229942321777344,0.26445239765470574
구파발역 공영주차장(시),8930e1d162bffff,진관동,Yellow,346.2,0.35,35.06563186645508,41.377620697021484,6.311988830566406,0.24264350511104035
구파발역 공영주차장(시),8930e1d1667ffff,진관동,Green,659.4,0.66,35.06563186645508,52.86970520019531,17.804073333740234,0.23762395055198712
구파발역 공영주차장(시),8930e1d16afffff,진관동,Green,502.2,0.5,35.06563186645508,35.089508056640625,0.023876190185546875,0.23584818853712608
구파발역 공영주차장(시),8930e1d1287ffff,진관동,Yellow,915.7,0.92,35.06563186645508,45.52311325073242,10.457481384277344,0.2337848741505404
봉천복개3 공영주차장(시),8930e036d57ffff,청룡동,Green,1805.1,1.81,34.721370697021484,49.82988739013672,15.108516693115234,0.28654511618419953
봉천복개3 공영주차장(시),8930e036dcfffff,청룡동,Green,1520.1,1.52,34.721370697021484,46.47386932373047,11.752498626708984,0.27245249877100336
봉천복개3 공영주차장(시),8930e036d1bffff,청룡동,Green,1687.8,1.69,34.721370697021484,47.18523406982422,12.463863372802734,0.25734271357751115
봉천복개3 공영주차장(시),8930e036dcbffff,청룡동,Yellow,1384.2,1.38,34.721370697021484,42.34431076049805,7.6229400634765625,0.2530227777963136
봉천복개3 공영주차장(시),8930e1d9e0bffff,상도1동,Yellow,2391.3,2.39,34.721370697021484,70.0153579711914,35.29398727416992,0.24176460681962791
석계역 공영주차장(시),8930e1c018bffff,묵1동,Green,2253.1,2.25,30.06182098388672,30.14605712890625,0.08423614501953125,0.404770628101623
석계역 공영주차장(시),8930e1c053bffff,공릉2동,Green,2015.7,2.02,30.06182098388672,38.485565185546875,8.423744201660156,0.2402578156197806
석계역 공영주차장(시),8930e1c050fffff,공릉2동,Green,1752.9,1.75,30.06182098388672,33.42448425292969,3.3626632690429688,0.22866636765968246
석계역 공영주차장(시),8930e1c0563ffff,공릉2동,Yellow,1664.7,1.66,30.06182098388672,28.442100524902344,-1.619720458984375,0.22665753938107003
석계역 공영주차장(시),8930e1c0533ffff,공릉2동,Green,2237.3,2.24,30.06182098388672,37.334774017333984,7.272953033447266,0.22148301135604723
청계7가 공영주차장(시),8930e1c144fffff,왕십리도선동,Green,1481.3,1.48,30.039514541625977,31.167457580566406,1.1279430389404297,0.2389507683375981
청계7가 공영주차장(시),8930e1c1457ffff,왕십리도선동,Green,1053.7,1.05,30.039514541625977,29.428363800048828,-0.6111507415771484,0.2126727289271371
청계7가 공영주차장(시),8930e1c16abffff,행당1동,Green,2189.4,2.19,30.039514541625977,29.352840423583984,-0.6866741180419922,0.2118950358453183
청계7가 공영주차장(시),8930e1d8d07ffff,이화동,Green,1854.3,1.85,30.039514541625977,44.94083786010742,14.901323318481445,0.19372434513077638
청계7가 공영주차장(시),8930e1d8db3ffff,혜화동,Yellow,2416.1,2.42,30.039514541625977,43.521995544433594,13.482481002807617,0.1933170855084635
진흥로 공영주차장(시),8930e1da1abffff,대조동,Green,1252.8,1.25,30.78219985961914,40.1629638671875,9.38076400756836,0.3478477286994385
진흥로 공영주차장(시),8930e1da1bbffff,대조동,Yellow,1272.6,1.27,30.78219985961914,36.63167190551758,5.8494720458984375,0.3119680741009785
진흥로 공영주차장(시),8930e1da18bffff,대조동,Green,868.5,0.87,30.78219985961914,36.8580207824707,6.0758209228515625,0.3055109202146197
진흥로 공영주차장(시),8930e1da197ffff,대조동,Green,1492.7,1.49,30.78219985961914,40.833900451660156,10.051700592041016,0.29958809775962897
진흥로 공영주차장(시),8930e1da52fffff,대조동,Green,1669.4,1.67,30.78219985961914,38.03401565551758,7.2518157958984375,0.2989852223545576
여의서로 공영주차장(시),8930e1d953bffff,여의동,Green,1088.3,1.09,19.20578956604004,23.176116943359375,3.970327377319336,0.5428424351025317
여의서로 공영주차장(시),8930e1d9517ffff,여의동,Green,511.9,0.51,19.20578956604004,22.93756103515625,3.731771469116211,0.5287687941655566
여의서로 공영주차장(시),8930e1d919bffff,여의동,Green,1890.5,1.89,19.20578956604004,23.95806312561035,4.7522735595703125,0.5270451963095321
여의서로 공영주차장(시),8930e1d9567ffff,여의동,Green,1605.4,1.61,19.20578956604004,23.77925682067871,4.573467254638672,0.5233224313594244
여의서로 공영주차장(시),8930e1d9577ffff,여의동,Green,1323.0,1.32,19.20578956604004,23.938125610351562,4.732336044311523,0.522987860717711
난지중앙로노상공영주차장(시),8930e1db5a7ffff,상암동,Yellow,1580.4,1.58,38.163875579833984,20.56879234313965,-17.595083236694336,0.2609384505615022
난지중앙로노상공영주차장(시),8930e1da2dbffff,상암동,Green,1640.2,1.64,38.163875579833984,23.628223419189453,-14.535652160644531,0.22375063351788366
난지중앙로노상공영주차장(시),8930e1db187ffff,성산2동,Yellow,2037.5,2.04,38.163875579833984,20.229598999023438,-17.934276580810547,0.22266495063707212
난지중앙로노상공영주차장(시),8930e1da2cbffff,상암동,Green,1747.1,1.75,38.163875579833984,20.392000198364258,-17.771875381469727,0.22181444386329524
난지중앙로노상공영주차장(시),8930e1da2c3ffff,상암동,Yellow,1907.1,1.91,38.163875579833984,19.75107192993164,-18.412803649902344,0.21710939356923742
세종로 공영주차장(시),8930e1d80b3ffff,신촌동,Yellow,3235.5,3.24,46.853424072265625,40.8698844909668,-5.983539581298828,0.34636849825863636
세종로 공영주차장(시),8930e1d8087ffff,신촌동,Green,3502.6,3.5,46.853424072265625,40.31616973876953,-6.537254333496094,0.33932920432049807
세종로 공영주차장(시),8930e1d80abffff,신촌동,Green,3287.6,3.29,46.853424072265625,43.360633850097656,-3.4927902221679688,0.3341432905912545
세종로 공영주차장(시),8930e1d8097ffff,신촌동,Yellow,3640.4,3.64,46.853424072265625,37.72819519042969,-9.125228881835938,0.3076830354700155
세종로 공영주차장(시),8930e1d80a7ffff,신촌동,Green,2848.5,2.85,46.853424072265625,54.17606735229492,7.322643280029297,0.3001710338719527
도봉로 15길 공영주차장(시),8930e1c33b3ffff,종암동,Green,1929.2,1.93,49.50276565551758,37.4599494934082,-12.042816162109375,0.22008551225258047
도봉로 15길 공영주차장(시),8930e1c3383ffff,종암동,Green,2046.1,2.05,49.50276565551758,41.53890609741211,-7.963859558105469,0.2030494841187945
도봉로 15길 공영주차장(시),8930e1c3087ffff,길음1동,Yellow,1193.9,1.19,49.50276565551758,79.09793853759766,29.595172882080078,0.19033842243757326
도봉로 15길 공영주차장(시),8930e1c33b7ffff,종암동,Green,1925.0,1.92,49.50276565551758,39.97160339355469,-9.53116226196289,0.190324553411376
도봉로 15길 공영주차장(시),8930e1c3397ffff,종암동,Green,1738.2,1.74,49.50276565551758,44.808616638183594,-4.694149017333984,0.18951876233556983
명일파출소 공영주차장(시),8930e1cf5abffff,길동,Green,1548.4,1.55,35.852664947509766,25.56911277770996,-10.283552169799805,0.289616454411055
명일파출소 공영주차장(시),8930e1cf53bffff,길동,Green,1878.4,1.88,35.852664947509766,25.609638214111328,-10.243026733398438,0.2824897274143167
명일파출소 공영주차장(시),8930e1cf523ffff,길동,Green,1677.9,1.68,35.852664947509766,33.3988037109375,-2.4538612365722656,0.2793479728170778
명일파출소 공영주차장(시),8930e1ce153ffff,강일동,Green,2452.6,2.45,35.852664947509766,25.68711280822754,-10.165552139282227,0.2744725192599815
명일파출소 공영주차장(시),8930e1cf533ffff,길동,Green,1587.8,1.59,35.852664947509766,29.300090789794922,-6.552574157714844,0.2735511135374342
창동역(서) 공영주차장(시),8930e1c204bffff,창2동,Green,1366.4,1.37,31.820453643798828,38.76313400268555,6.942680358886719,0.19041712077264158
창동역(서) 공영주차장(시),8930e1c205bffff,창2동,Green,1346.1,1.35,31.820453643798828,37.26278305053711,5.442329406738281,0.18323302925081547
