h3_index,CSV_ADMI_CD,ADM_NM,GU_NM,avg_total_pop,daytime_pop,evening_pop,night_pop,peak_hour,peak_hour_pop,young_active_pop,h3_cells_in_dong,estimated_h3_pop,estimated_h3_daytime_pop,estimated_h3_evening_pop,estimated_h3_night_pop,pop_density_index,daytime_pop_index,evening_pop_index,night_pop_index,young_active_pop_index
8930e036137ffff,11620775,난곡동,관악구,16428.59596003214,14024.81824562672,16748.48798953168,18944.972208618656,4,19241.219277134987,7061.969415691001,13,1263.74,1078.83,1288.35,1457.31,0.177656,0.130632,0.213602,0.225136,0.134351
8930e036117ffff,11620775,난곡동,관악구,16428.59596003214,14024.81824562672,16748.48798953168,18944.972208618656,4,19241.219277134987,7061.969415691001,13,1263.74,1078.83,1288.35,1457.31,0.177656,0.130632,0.213602,0.225136,0.134351
8930e0361a7ffff,11620775,난곡동,관악구,16428.59596003214,14024.81824562672,16748.48798953168,18944.972208618656,4,19241.219277134987,7061.969415691001,13,1263.74,1078.83,1288.35,1457.31,0.177656,0.130632,0.213602,0.225136,0.134351
8930e036123ffff,11620775,난곡동,관악구,16428.59596003214,14024.81824562672,16748.48798953168,18944.972208618656,4,19241.219277134987,7061.969415691001,13,1263.74,1078.83,1288.35,1457.31,0.177656,0.130632,0.213602,0.225136,0.134351
8930e036cdbffff,11620775,난곡동,관악구,16428.59596003214,14024.81824562672,16748.48798953168,18944.972208618656,4,19241.219277134987,7061.969415691001,13,1263.74,1078.83,1288.35,1457.31,0.177656,0.130632,0.213602,0.225136,0.134351
8930e036103ffff,11620775,난곡동,관악구,16428.59596003214,14024.81824562672,16748.48798953168,18944.972208618656,4,19241.219277134987,7061.969415691001,13,1263.74,1078.83,1288.35,1457.31,0.177656,0.130632,0.213602,0.225136,0.134351
8930e03613bffff,11620775,난곡동,관악구,16428.59596003214,14024.81824562672,16748.48798953168,18944.972208618656,4,19241.219277134987,7061.969415691001,13,1263.74,1078.83,1288.35,1457.31,0.177656,0.130632,0.213602,0.225136,0.134351
8930e0361abffff,11620775,난곡동,관악구,16428.59596003214,14024.81824562672,16748.48798953168,18944.972208618656,4,19241.219277134987,7061.969415691001,13,1263.74,1078.83,1288.35,1457.31,0.177656,0.130632,0.213602,0.225136,0.134351
8930e036cd3ffff,11620775,난곡동,관악구,16428.59596003214,14024.81824562672,16748.48798953168,18944.972208618656,4,19241.219277134987,7061.969415691001,13,1263.74,1078.83,1288.35,1457.31,0.177656,0.130632,0.213602,0.225136,0.134351
8930e036133ffff,11620775,난곡동,관악구,16428.59596003214,14024.81824562672,16748.48798953168,18944.972208618656,4,19241.219277134987,7061.969415691001,13,1263.74,1078.83,1288.35,1457.31,0.177656,0.130632,0.213602,0.225136,0.134351
8930e036107ffff,11620775,난곡동,관악구,16428.59596003214,14024.81824562672,16748.48798953168,18944.972208618656,4,19241.219277134987,7061.969415691001,13,1263.74,1078.83,1288.35,1457.31,0.177656,0.130632,0.213602,0.225136,0.134351
8930e0361a3ffff,11620775,난곡동,관악구,16428.59596003214,14024.81824562672,16748.48798953168,18944.972208618656,4,19241.219277134987,7061.969415691001,13,1263.74,1078.83,1288.35,1457.31,0.177656,0.130632,0.213602,0.225136,0.134351
8930e036eb3ffff,11620745,삼성동,관악구,18447.151479924243,15812.638673312673,18849.803397704316,21163.421398071627,3,21454.89613939394,7957.283987339302,37,498.57,427.37,509.45,571.98,0.070089,0.051749,0.084464,0.088364,0.053189
8930e036ccbffff,11620745,삼성동,관악구,18447.151479924243,15812.638673312673,18849.803397704316,21163.421398071627,3,21454.89613939394,7957.283987339302,37,498.57,427.37,509.45,571.98,0.070089,0.051749,0.084464,0.088364,0.053189
8930e036c4bffff,11620745,삼성동,관악구,18447.151479924243,15812.638673312673,18849.803397704316,21163.421398071627,3,21454.89613939394,7957.283987339302,37,498.57,427.37,509.45,571.98,0.070089,0.051749,0.084464,0.088364,0.053189
8930e036e9bffff,11620745,삼성동,관악구,18447.151479924243,15812.638673312673,18849.803397704316,21163.421398071627,3,21454.89613939394,7957.283987339302,37,498.57,427.37,509.45,571.98,0.070089,0.051749,0.084464,0.088364,0.053189
8930e036ecfffff,11620745,삼성동,관악구,18447.151479924243,15812.638673312673,18849.803397704316,21163.421398071627,3,21454.89613939394,7957.283987339302,37,498.57,427.37,509.45,571.98,0.070089,0.051749,0.084464,0.088364,0.053189
8930e036e1bffff,11620745,삼성동,관악구,18447.151479924243,15812.638673312673,18849.803397704316,21163.421398071627,3,21454.89613939394,7957.283987339302,37,498.57,427.37,509.45,571.98,0.070089,0.051749,0.084464,0.088364,0.053189
8930e036e83ffff,11620745,삼성동,관악구,18447.151479924243,15812.638673312673,18849.803397704316,21163.421398071627,3,21454.89613939394,7957.283987339302,37,498.57,427.37,509.45,571.98,0.070089,0.051749,0.084464,0.088364,0.053189
8930e036e03ffff,11620745,삼성동,관악구,18447.151479924243,15812.638673312673,18849.803397704316,21163.421398071627,3,21454.89613939394,7957.283987339302,37,498.57,427.37,509.45,571.98,0.070089,0.051749,0.084464,0.088364,0.053189
8930e036ccfffff,11620745,삼성동,관악구,18447.151479924243,15812.638673312673,18849.803397704316,21163.421398071627,3,21454.89613939394,7957.283987339302,37,498.57,427.37,509.45,571.98,0.070089,0.051749,0.084464,0.088364,0.053189
8930e036c1bffff,11620745,삼성동,관악구,18447.151479924243,15812.638673312673,18849.803397704316,21163.421398071627,3,21454.89613939394,7957.283987339302,37,498.57,427.37,509.45,571.98,0.070089,0.051749,0.084464,0.088364,0.053189
8930e036127ffff,11620745,삼성동,관악구,18447.151479924243,15812.638673312673,18849.803397704316,21163.421398071627,3,21454.89613939394,7957.283987339302,37,498.57,427.37,509.45,571.98,0.070089,0.051749,0.084464,0.088364,0.053189
8930e036ed3ffff,11620745,삼성동,관악구,18447.151479924243,15812.638673312673,18849.803397704316,21163.421398071627,3,21454.89613939394,7957.283987339302,37,498.57,427.37,509.45,571.98,0.070089,0.051749,0.084464,0.088364,0.053189
8930e036e87ffff,11620745,삼성동,관악구,18447.151479924243,15812.638673312673,18849.803397704316,21163.421398071627,3,21454.89613939394,7957.283987339302,37,498.57,427.37,509.45,571.98,0.070089,0.051749,0.084464,0.088364,0.053189
