H3_ID,생활인구합계,FNB_Count,Parking_Count,Total_Spaces,RainPump_Count,Storage_Hub_Score,Elevation_Diff,Park_Count,Hiking_Count,Univ_Count,Delivery_HardToReach_Score,Apt_Count,Total_Households,Apt_Parking,OpenSpace_Count,Max_Building_Height,Avg_Building_Height,Building_Count,Optimal_Triangulation_Score,Is_Restricted,Is_Prohibited,Scen_1_No_Restrict,Scen_2_Only_Prohibited,Scen_3_All_Restricted
8930e1db32bffff,6.686.446.256.186.47.238.4113.2426.1337.4641.9643.9545.1245.9346.0845.3643.4840.6533.5524.0118.3214.0410.658.45,0.0,0.0,0.0,0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0,10.312793076052046,0,0,True,True,True
8930e1db337ffff,4.884.624.434.294.234.234.444.866.325.997.879.4610.1810.8911.1311.295.0311.3711.27*11.28*11.3610.839.918.695.287.225.236.23,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,8.608903764087472,0,0,True,True,True
8930e1db347ffff,1812.382295.941803.562314.361806.352303.571837.472283.421854.132312.781892.382268.441900.672273.251908.72240.471888.332220.621840.512142.791831.982219.61963.942350.872100.362422.031897.122426.851895.762396.762014.372324.162057.742177.192081.42289.722582.372457.672636.972462.122413.062502.52267.292334.512246.812308.892065.242266.84,21.0,0.0,0.0,0,13.295,0.0,0.0,0.0,0.0,0.0,2.0,1603.0,2659.0,0,76.0,70.0,3,20.39756160302876,0,0,True,True,True
8930e1db34bffff,2732.182727.322776.492779.082762.452760.652717.22676.332535.122263.812322.82422.112645.472409.642341.682341.582350.162416.952626.462809.392723.572577.112571.592525.96,16.0,0.0,0.0,0,7.45,5.0,0.0,0.0,0.0,10.0,2.0,1268.0,1490.0,0,42.0,26.0,8,22.35929673798767,0,0,True,True,True
8930e1db34fffff,2737.962674.262552.342534.722517.32518.032563.372648.552612.962573.282544.432587.922790.712789.372806.513020.323083.013109.673252.63163.882979.92860.132762.072717.02,4.0,0.0,0.0,0,9.335,0.0,0.0,0.0,0.0,0.0,3.0,1682.0,1867.0,0,67.0,51.5,4,21.20346606601934,0,0,True,True,True
8930e1db353ffff,42.5742.5741.3840.1940.1940.1936.2937.838.7517.3921.3313.7513.8613.8613.8613.8613.7513.6317.4525.2529.0228.7829.828.36,8.0,1.0,23.0,0,3.06,0.0,0.0,0.0,0.0,0.0,1.0,410.0,420.0,0,10.0,10.0,1,17.860969904445415,0,0,True,True,True
8930e1db357ffff,2703.032597.342531.852528.912532.842537.742562.672690.172748.3071.23261.573545.883473.163685.053775.113817.743551.093802.84052.574149.184169.293997.883555.483281.71,19.0,0.0,0.0,0,1.19,0.0,0.0,0.0,0.0,0.0,1.0,205.0,238.0,0,27.0,20.285714285714285,7,15.392374400785993,0,0,True,True,True
8930e1db35bffff,1095.594515.161116.034541.831114.794583.321112.924607.561082.784653.731104.434746.671111.514832.171071.335016.821102.535766.81907.526575.67831.896816.09808.116631.27858.296195.31827.176390.87801.086464.29828.956386.64808.576055.45778.955597.33812.855015.8897.34347.6971.184237.14962.724317.841017.334502.951033.24512.82,13.0,0.0,0.0,0,1.5,5.0,0.0,0.0,0.0,10.0,1.0,509.0,300.0,0,78.0,44.0,2,20.74649137820251,0,0,True,True,True
8930e1db363ffff,955.03979.88952.62953.12967.34950.34955.24946.69915.77761.32720.92704.06699.68652.8681.11653.65697.96743.63795.37767.33765.66787.31813.18878.67,0.0,0.0,0.0,0,3.0,10.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,1,0.0,0.0,0,13.934970895653795,0,0,True,True,True
8930e1db367ffff,54.7752.7951.3250.7552.3259.2568.88108.55213.98306.89343.73360.28369.71376.35377.44371.51355.87332.86274.99196.72150.07115.1187.0469.03,1.0,0.0,0.0,0,6.0,10.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,2,0.0,0.0,0,13.251052750577216,0,0,True,True,True
8930e1db36bffff,18.07168.033864.252300.7113.11166.123893.112343.2613.11160.323860.252391.0310.18163.573855.12376.3413.08150.943836.522366.8614.27157.83827.392333.7727.77150.93852.322321.3539.68163.463735.792297.2954.69232.393328.712069.1959.45219.222751.941727.7953.99222.632532.91501.3951.54235.692402.281360.7562.79240.272406.851301.9958.23225.042390.921245.7654.09187.092326.611274.6746.97184.672369.91245.3554.6168.962450.061290.2554.64176.892559.761375.2945.44131.292881.381596.1349.8968.893254.291764.7437.7395.113324.491958.9435.53104.893430.782032.0637.51108.783475.92126.2847.31123.073592.552214.39,5.0,1.0,31.0,0,10.425,5.0,0.0,0.0,0.0,10.0,2.0,1339.0,1861.0,0,41.0,31.0,2,18.014072174278667,0,0,True,True,True
